DaysSinceHalving,Price 2016 (USD),Price 2020 (USD),Price 2024 (USD),Log Scale
0,650.9600219726562,8601.7958984375,63843.5703125,4.805117165993998
1,649.3599853515625,8804.4775390625,64994.44140625,4.812876215568697
2,647.6589965820312,9269.9873046875,64926.64453125,4.812422958714155
3,664.551025390625,9733.7216796875,66837.6796875,4.825021364674281
4,654.468017578125,9328.197265625,66407.2734375,4.822215649259216
5,658.0780029296875,9377.013671875,64276.8984375,4.808054912522284
6,663.2550048828125,9670.7392578125,64481.70703125,4.809436526074318
7,660.7670288085938,9726.5751953125,63755.3203125,4.80451643202286
8,679.458984375,9729.0380859375,63419.140625,4.802220352728139
9,673.1060180664062,9522.9814453125,63113.23046875,4.800120410230957
10,672.864013671875,9081.76171875,63841.12109375,4.805100504917771
11,665.6849975585938,9182.5771484375,60636.85546875,4.782736671384226
12,665.0120239257812,9209.287109375,58254.01171875,4.765325838836653
13,650.6190185546875,8790.3681640625,59123.43359375,4.771759647773735
14,655.5560302734375,8906.9345703125,62889.8359375,4.7985804617736845
15,661.2849731445312,8835.052734375,63891.47265625,4.805442898448501
16,654.0969848632812,9181.017578125,64031.1328125,4.806391185251715
17,651.7839965820312,9525.7509765625,63161.94921875,4.800455524152671
18,654.3519897460938,9439.1240234375,62334.81640625,4.794730684694726
19,655.0349731445312,9700.4140625,61187.94140625,4.786665842133643
20,656.9920043945312,9461.05859375,63049.9609375,4.7996848218427495
21,655.0469970703125,10167.2685546875,60792.77734375,4.7838519847648
22,624.6810302734375,9529.8037109375,60793.7109375,4.783858654167292
23,606.27197265625,9656.7177734375,61448.39453125,4.788510540512506
24,547.4650268554688,9800.63671875,62901.44921875,4.79866065149385
25,566.35498046875,9665.533203125,61552.7890625,4.78924773634143
26,578.2890014648438,9653.6796875,66267.4921875,4.821300535556564
27,575.0430297851562,9758.8525390625,65231.58203125,4.814457911392493
28,587.7780151367188,9771.4892578125,67051.875,4.826410926718089
29,592.6900024414062,9795.7001953125,66940.8046875,4.825690928655765
30,591.0540161132812,9870.0947265625,66278.3671875,4.821371800740155
31,587.801025390625,9321.78125,71448.1953125,4.853991263557764
32,592.10302734375,9480.84375,70136.53125,4.845944283127519
33,589.1199951171875,9475.27734375,69122.3359375,4.839618406375123
34,587.5590209960938,9386.7880859375,67929.5625,4.832058817528344
35,585.5880126953125,9450.7021484375,68526.1015625,4.835856025585779
36,570.4730224609375,9538.0244140625,69265.9453125,4.840519765665615
37,567.239990234375,9480.2548828125,68518.09375,4.835805271903336
38,577.4390258789062,9411.8408203125,69394.5546875,4.841325393193286
39,573.2160034179688,9288.0185546875,68296.21875,4.834396659443337
40,574.3179931640625,9332.3408203125,67578.09375,4.829805936987081
41,575.6300048828125,9303.6298828125,68364.9921875,4.834833768506314
42,581.697021484375,9648.7177734375,67491.4140625,4.829248527461397
43,581.3079833984375,9629.658203125,67706.9375,4.830633170363219
44,586.7529907226562,9313.6103515625,67751.6015625,4.830919565842165
45,583.4149780273438,9264.8134765625,68804.78125,4.837618618443983
46,580.1820068359375,9162.91796875,70567.765625,4.848606366660501
47,577.760986328125,9045.390625,71082.8203125,4.85176465072945
48,579.6510009765625,9143.58203125,70757.1640625,4.849770418122808
49,569.947021484375,9190.8544921875,69342.5859375,4.84100003341853
50,573.9119873046875,9137.9931640625,69305.7734375,4.840769414519571
51,574.1069946289062,9228.3251953125,69647.9921875,4.842908601097985
52,577.5029907226562,9123.41015625,69512.28125,4.842061541394543
53,575.4719848632812,9087.3037109375,67332.03125,4.828221716314966
54,572.302978515625,9132.48828125,68241.1875,4.834046575606859
55,575.5369873046875,9073.9423828125,66756.3984375,4.824492898095398
56,598.2119750976562,9375.474609375,66011.09375,4.8196169287166555
57,608.6339721679688,9252.27734375,66191.0,4.820798942369383
58,606.5900268554688,9428.3330078125,66639.046875,4.8237287768157735
59,610.4359741210938,9277.9677734375,66490.296875,4.822758272053308
60,614.5440063476562,9278.8076171875,65140.74609375,4.813852728477288
61,626.3159790039062,9240.3466796875,64960.296875,4.812648001006513
62,622.8610229492188,9276.5,64828.65625,4.8117670197633515
63,623.5089721679688,9243.6142578125,64096.19921875,4.806832277455428
64,606.718994140625,9243.2138671875,64252.578125,4.80789055835349
65,608.2429809570312,9192.8369140625,63180.796875,4.800585099192315
66,609.2410278320312,9132.2275390625,60277.4140625,4.780154612546436
67,610.6840209960938,9151.392578125,61804.640625,4.791021085479831
68,607.155029296875,9159.0400390625,60811.27734375,4.783984125884565
69,606.9730224609375,9185.8173828125,61604.80078125,4.789614557482035
70,605.9840087890625,9164.2314453125,60320.13671875,4.780462317214028
71,609.8740234375,9374.8876953125,60887.37890625,4.78452727884918
72,609.2269897460938,9525.36328125,62678.29296875,4.797117160030957
73,608.31201171875,9581.072265625,62851.98046875,4.798318966876369
74,597.1489868164062,9536.892578125,62029.015625,4.792594889144609
75,596.2979736328125,9677.11328125,60173.921875,4.779408317843074
76,602.8419799804688,9905.1669921875,56977.703125,4.755704938054673
77,602.625,10990.873046875,56662.375,4.753294773992708
78,600.8259887695312,10912.8232421875,58303.5390625,4.765694917514857
79,608.0430297851562,11100.4677734375,55849.109375,4.747016251818557
80,606.166015625,11111.2138671875,56705.09765625,4.753622102710641
81,604.72802734375,11323.466796875,58009.2265625,4.763497075054262
82,605.6929931640625,11759.5927734375,57742.49609375,4.7614955536408425
83,609.7349853515625,11053.6142578125,57344.9140625,4.758494906238368
84,613.9829711914062,11246.3486328125,57899.46484375,4.762674549625874
85,610.8920288085938,11205.892578125,59231.953125,4.772556053380855
86,612.1329956054688,11747.0224609375,60787.79296875,4.783816375677692
87,610.2039794921875,11779.7734375,64870.15234375,4.812044917846556
88,612.510986328125,11601.47265625,65097.1484375,4.813561964835743
89,613.02099609375,11754.0458984375,64118.79296875,4.80698533819949
90,617.1209716796875,11675.7392578125,63974.06640625,4.80600395680897
91,619.1079711914062,11878.111328125,66710.15625,4.824191957867893
92,616.7520141601562,11410.525390625,67163.6484375,4.827134279682165
93,618.9940185546875,11584.9345703125,,
94,641.072021484375,11784.1376953125,,
95,636.1920166015625,11768.87109375,,
96,636.7860107421875,11865.6982421875,,
97,640.3779907226562,11892.8037109375,,
98,638.64599609375,12254.40234375,,
99,641.6309814453125,11991.2333984375,,
100,639.1929931640625,11758.283203125,,
101,637.9600219726562,11878.3720703125,,
102,630.52001953125,11592.4892578125,,
103,630.8569946289062,11681.8251953125,,
104,632.8280029296875,11664.84765625,,
105,657.2940063476562,11774.595703125,,
106,657.0709838867188,11366.134765625,,
107,653.760986328125,11488.36328125,,
108,657.5880126953125,11323.3974609375,,
109,678.3040161132812,11542.5,,
110,688.31298828125,11506.865234375,,
111,689.6510009765625,11711.505859375,,
112,714.47900390625,11680.8203125,,
113,701.864013671875,11970.478515625,,
114,700.9719848632812,11414.0341796875,,
115,729.7930297851562,10245.296875,,
116,740.8289794921875,10511.8134765625,,
117,688.7000122070312,10169.5673828125,,
118,703.2349853515625,10280.3515625,,
119,703.4180297851562,10369.5634765625,,
120,711.52197265625,10131.5166015625,,
121,703.1309814453125,10242.34765625,,
122,709.8480224609375,10363.138671875,,
123,723.2730102539062,10400.9150390625,,
124,715.5339965820312,10442.1708984375,,
125,716.4110107421875,10323.755859375,,
126,705.0540161132812,10680.837890625,,
127,702.031005859375,10796.951171875,,
128,705.02099609375,10974.9052734375,,
129,711.6190185546875,10948.990234375,,
130,744.197998046875,10944.5859375,,
131,740.9769897460938,11094.3466796875,,
132,751.5850219726562,10938.271484375,,
133,751.6160278320312,10462.259765625,,
134,731.0260009765625,10538.4599609375,,
135,739.2479858398438,10246.1865234375,,
136,751.3469848632812,10760.06640625,,
137,744.593994140625,10692.716796875,,
138,740.2890014648438,10750.7236328125,,
139,741.6489868164062,10775.26953125,,
140,735.3820190429688,10709.65234375,,
141,732.0349731445312,10844.640625,,
142,735.81298828125,10784.4912109375,,
143,735.60400390625,10619.4521484375,,
144,745.6909790039062,10575.974609375,,
145,756.7739868164062,10549.3291015625,,
146,777.9439697265625,10669.5830078125,,
147,771.155029296875,10793.33984375,,
148,773.8720092773438,10604.40625,,
149,758.7000122070312,10668.96875,,
150,764.2239990234375,10915.685546875,,
151,768.1320190429688,11064.4580078125,,
152,770.8099975585938,11296.361328125,,
153,772.7940063476562,11384.181640625,,
154,774.6500244140625,11555.36328125,,
155,769.7310180664062,11425.8994140625,,
156,780.0869750976562,11429.5068359375,,
157,780.5560302734375,11495.349609375,,
158,781.4810180664062,11322.123046875,,
159,778.0880126953125,11358.1015625,,
160,784.906982421875,11483.359375,,
161,790.8289794921875,11742.037109375,,
162,790.530029296875,11916.3349609375,,
163,792.7139892578125,12823.689453125,,
164,800.8759765625,12965.8916015625,,
165,834.281005859375,12931.5390625,,
166,864.5399780273438,13108.0625,,
167,921.9840087890624,13031.173828125,,
168,898.822021484375,13075.248046875,,
169,896.1829833984375,13654.21875,,
170,907.6099853515624,13271.28515625,,
171,933.197998046875,13437.8828125,,
172,975.9210205078124,13546.5224609375,,
173,973.4970092773438,13780.9951171875,,
174,961.2379760742188,13737.109375,,
175,963.7429809570312,13550.4892578125,,
176,998.3250122070312,13950.30078125,,
177,1021.75,14133.70703125,,
178,1043.8399658203125,15579.8486328125,,
179,1154.72998046875,15565.880859375,,
180,1013.3800048828124,14833.75390625,,
181,902.2009887695312,15479.5673828125,,
182,908.5850219726562,15332.3154296875,,
183,911.198974609375,15290.90234375,,
184,902.8280029296876,15701.33984375,,
185,907.6790161132812,16276.34375,,
186,777.7570190429688,16317.80859375,,
187,804.833984375,16068.138671875,,
188,823.9840087890625,15955.587890625,,
189,818.4119873046875,16716.111328125,,
190,821.7979736328125,17645.40625,,
191,831.5339965820312,17804.005859375,,
192,907.93798828125,17817.08984375,,
193,886.6179809570312,18621.314453125,,
194,899.072998046875,18642.232421875,,
195,895.0260009765625,18370.001953125,,
196,921.7890014648438,18364.12109375,,
197,924.6729736328124,19107.46484375,,
198,921.0120239257812,18732.12109375,,
199,892.68701171875,17150.623046875,,
200,901.5419921875,17108.40234375,,
201,917.5859985351562,17717.4140625,,
202,919.75,18177.484375,,
203,921.5900268554688,19625.8359375,,
204,919.4959716796876,18802.998046875,,
205,920.3820190429688,19201.091796875,,
206,970.4030151367188,19445.3984375,,
207,989.0230102539062,18699.765625,,
208,1011.7999877929688,19154.23046875,,
209,1029.9100341796875,19345.12109375,,
210,1042.9000244140625,19191.630859375,,
211,1027.3399658203125,18321.14453125,,
212,1038.1500244140625,18553.916015625,,
213,1061.3499755859375,18264.9921875,,
214,1063.0699462890625,18058.904296875,,
215,994.3829956054688,18803.65625,,
216,988.6740112304688,19142.3828125,,
217,1004.4500122070312,19246.64453125,,
218,999.1810302734376,19417.076171875,,
219,990.6420288085938,21310.59765625,,
220,1004.5499877929688,22805.162109375,,
221,1007.47998046875,23137.9609375,,
222,1027.43994140625,23869.83203125,,
223,1046.2099609375,23477.294921875,,
224,1054.4200439453125,22803.08203125,,
225,1047.8699951171875,23783.029296875,,
226,1079.97998046875,23241.345703125,,
227,1115.300048828125,23735.94921875,,
228,1117.43994140625,24664.791015625,,
229,1166.719970703125,26437.037109375,,
230,1173.6800537109375,26272.294921875,,
231,1143.8399658203125,27084.80859375,,
232,1165.199951171875,27362.4375,,
233,1179.969970703125,28840.953125,,
234,1179.969970703125,29001.720703125,,
235,1222.5,29374.15234375,,
236,1251.010009765625,32127.267578125,,
237,1274.989990234375,32782.0234375,,
238,1255.1500244140625,31971.9140625,,
239,1267.1199951171875,33992.4296875,,
240,1272.8299560546875,36824.36328125,,
241,1223.5400390625,39371.04296875,,
242,1150.0,40797.609375,,
243,1188.489990234375,40254.546875,,
244,1116.719970703125,38356.44140625,,
245,1175.8299560546875,35566.65625,,
246,1221.3800048828125,33922.9609375,,
247,1231.9200439453125,37316.359375,,
248,1240.0,39187.328125,,
249,1249.6099853515625,36825.3671875,,
250,1187.81005859375,36178.140625,,
251,1100.22998046875,35791.27734375,,
252,973.8179931640624,36630.07421875,,
253,1036.739990234375,36069.8046875,,
254,1054.22998046875,35547.75,,
255,1120.5400390625,30825.69921875,,
256,1049.1400146484375,33005.76171875,,
257,1038.5899658203125,32067.642578125,,
258,937.52001953125,32289.37890625,,
259,972.7789916992188,32366.392578125,,
260,966.7249755859376,32569.849609375,,
261,1045.77001953125,30432.546875,,
262,1047.1500244140625,33466.09765625,,
263,1039.969970703125,34316.38671875,,
264,1026.4300537109375,34269.5234375,,
265,1071.7900390625,33114.359375,,
266,1080.5,33537.17578125,,
267,1102.1700439453125,35510.2890625,,
268,1143.81005859375,37472.08984375,,
269,1133.25,36926.06640625,,
270,1124.780029296875,38144.30859375,,
271,1182.6800537109375,39266.01171875,,
272,1176.9000244140625,38903.44140625,,
273,1175.949951171875,46196.46484375,,
274,1187.8699951171875,46481.10546875,,
275,1187.1300048828125,44918.18359375,,
276,1205.010009765625,47909.33203125,,
277,1200.3699951171875,47504.8515625,,
278,1169.280029296875,47105.515625,,
279,1167.5400390625,48717.2890625,,
280,1172.52001953125,47945.05859375,,
281,1182.93994140625,49199.87109375,,
282,1193.9100341796875,52149.0078125,,
283,1211.6700439453125,51679.796875,,
284,1210.2900390625,55888.1328125,,
285,1229.0799560546875,56099.51953125,,
286,1222.050048828125,57539.9453125,,
287,1231.7099609375,54207.3203125,,
288,1207.2099609375,48824.42578125,,
289,1250.1500244140625,49705.33203125,,
290,1265.489990234375,47093.8515625,,
291,1281.0799560546875,46339.76171875,,
292,1317.72998046875,46188.453125,,
293,1316.47998046875,45137.76953125,,
294,1321.7900390625,49631.2421875,,
295,1347.8900146484375,48378.98828125,,
296,1421.5999755859375,50538.2421875,,
297,1452.8199462890625,48561.16796875,,
298,1490.0899658203125,48927.3046875,,
299,1537.6700439453125,48912.3828125,,
300,1555.449951171875,51206.69140625,,
301,1578.800048828125,52246.5234375,,
302,1596.7099609375,54824.1171875,,
303,1723.3499755859375,56008.55078125,,
304,1755.3599853515625,57805.12109375,,
305,1787.1300048828125,57332.08984375,,
306,1848.5699462890625,61243.0859375,,
307,1724.239990234375,59302.31640625,,
308,1804.9100341796875,55907.19921875,,
309,1808.9100341796875,56804.90234375,,
310,1738.4300537109375,58870.89453125,,
311,1734.449951171875,57858.921875,,
312,1839.0899658203125,58346.65234375,,
313,1888.6500244140625,58313.64453125,,
314,1987.7099609375,57523.421875,,
315,2084.72998046875,54529.14453125,,
316,2041.199951171875,54738.9453125,,
317,2173.39990234375,52774.265625,,
318,2320.419921875,51704.16015625,,
319,2443.639892578125,55137.3125,,
320,2304.97998046875,55973.51171875,,
321,2202.419921875,55950.74609375,,
322,2038.8699951171875,57750.19921875,,
323,2155.800048828125,58917.69140625,,
324,2255.610107421875,58918.83203125,,
325,2175.469970703125,59095.80859375,,
326,2286.409912109375,59384.3125,,
327,2407.8798828125,57603.890625,,
328,2488.550048828125,58758.5546875,,
329,2515.35009765625,59057.87890625,,
330,2511.81005859375,58192.359375,,
331,2686.81005859375,56048.9375,,
332,2863.199951171875,58323.953125,,
333,2732.159912109375,58245.00390625,,
334,2805.6201171875,59793.234375,,
335,2823.81005859375,60204.96484375,,
336,2947.7099609375,59893.453125,,
337,2958.110107421875,63503.45703125,,
338,2659.6298828125,63109.6953125,,
339,2717.02001953125,63314.01171875,,
